iter	Passed	Remaining
917	82869	7402
918	82953	7311
919	83046	7221
920	83163	7133
921	83275	7044
922	83401	6957
923	83492	6867
924	83580	6776
925	83653	6685
926	83741	6594
927	83812	6502
928	83895	6411
929	83984	6321
930	84054	6229
931	84151	6139
932	84223	6048
933	84290	5956
934	84388	5866
935	84449	5774
936	84525	5683
937	84601	5591
938	84712	5503
939	84806	5413
940	84885	5322
941	84972	5231
942	85061	5141
943	85146	5051
944	85226	4960
945	85296	4868
946	85382	4778
947	85462	4687
948	85535	4596
949	85613	4505
950	85695	4415
951	85783	4325
952	85870	4234
953	85960	4144
954	86062	4055
955	86168	3965
956	86261	3875
957	86355	3785
958	86453	3696
959	86537	3605
960	86639	3516
961	86765	3427
962	86852	3337
963	86964	3247
964	87063	3157
965	87172	3068
966	87266	2978
967	87359	2887
968	87449	2797
969	87529	2707
970	87611	2616
971	87694	2526
972	87772	2435
973	87861	2345
974	87947	2255
975	88035	2164
976	88104	2074
977	88184	1983
978	88257	1893
979	88335	1802
980	88414	1712
981	88497	1622
982	88574	1531
983	88648	1441
984	88725	1351
985	88802	1260
986	88885	1170
987	88974	1080
988	89070	990
989	89168	900
990	89252	810
991	89342	720
992	89410	630
993	89495	540
994	89565	450
995	89659	360
996	89733	270
997	89825	180
998	89908	89
999	90030	0
